x,beta,se,outcome,iter,placebo
3,-3.164823671435245,NA,building_footprint,99,1
0,0,0,tin_roof_area,NA,0
1,15.451408305068387,3.350237229318021,tin_roof_area,NA,0
2,32.89037043636477,6.352384436661287,tin_roof_area,NA,0
3,42.96818574046793,7.550622655655451,tin_roof_area,NA,0
NA,13.608236770152745,2.031134726328551,tin_roof_area,NA,0
0,0,0,tin_roof_area,0,1
1,3.4453528783718044,NA,tin_roof_area,0,1
2,0.5912428108313188,NA,tin_roof_area,0,1
3,-1.3540116873980883,NA,tin_roof_area,0,1
0,0,0,tin_roof_area,1,1
1,5.080639947947901,NA,tin_roof_area,1,1
2,0.8320981095331371,NA,tin_roof_area,1,1
3,8.994868104993891,NA,tin_roof_area,1,1
0,0,0,tin_roof_area,2,1
1,0.2755736684494361,NA,tin_roof_area,2,1
2,-13.862407921879763,NA,tin_roof_area,2,1
3,-21.449405887428682,NA,tin_roof_area,2,1
0,0,0,tin_roof_area,3,1
1,0.38290455223842507,NA,tin_roof_area,3,1
2,-5.238890120409655,NA,tin_roof_area,3,1
3,4.947889368808517,NA,tin_roof_area,3,1
0,0,0,tin_roof_area,4,1
1,-0.4606655222053621,NA,tin_roof_area,4,1
2,-14.215183475653083,NA,tin_roof_area,4,1
3,-4.735611535353103,NA,tin_roof_area,4,1
0,0,0,tin_roof_area,5,1
1,0.8824096110973854,NA,tin_roof_area,5,1
2,9.756351558468559,NA,tin_roof_area,5,1
3,-5.546505283888616,NA,tin_roof_area,5,1
0,0,0,tin_roof_area,6,1
1,-0.59319207808147,NA,tin_roof_area,6,1
2,-1.0011556030462911,NA,tin_roof_area,6,1
3,1.555503975921863,NA,tin_roof_area,6,1
0,0,0,tin_roof_area,7,1
1,-1.3077056992896294,NA,tin_roof_area,7,1
2,-4.303471242029995,NA,tin_roof_area,7,1
3,-1.6445601919264234,NA,tin_roof_area,7,1
0,0,0,tin_roof_area,8,1
1,7.170224958830422,NA,tin_roof_area,8,1
2,0.9671757355884609,NA,tin_roof_area,8,1
3,-12.12286121774146,NA,tin_roof_area,8,1
0,0,0,tin_roof_area,9,1
1,-3.693605963756932,NA,tin_roof_area,9,1
2,4.583849919555645,NA,tin_roof_area,9,1
3,-8.935068253893586,NA,tin_roof_area,9,1
0,0,0,tin_roof_area,10,1
1,2.195502991796719,NA,tin_roof_area,10,1
2,3.4251119004224604,NA,tin_roof_area,10,1
3,12.388936804892227,NA,tin_roof_area,10,1
0,0,0,tin_roof_area,11,1
1,0.01762800876998517,NA,tin_roof_area,11,1
2,5.725724288787581,NA,tin_roof_area,11,1
3,13.373457460052016,NA,tin_roof_area,11,1
0,0,0,tin_roof_area,12,1
1,-4.649014734461356,NA,tin_roof_area,12,1
2,-6.811316159739359,NA,tin_roof_area,12,1
3,-0.8962313864833621,NA,tin_roof_area,12,1
0,0,0,tin_roof_area,13,1
1,3.484243942977107,NA,tin_roof_area,13,1
2,-5.407302770598878,NA,tin_roof_area,13,1
3,-12.40226014893163,NA,tin_roof_area,13,1
0,0,0,tin_roof_area,14,1
1,-7.245459421246358,NA,tin_roof_area,14,1
2,-5.096296978812478,NA,tin_roof_area,14,1
3,-11.187383791700729,NA,tin_roof_area,14,1
0,0,0,tin_roof_area,15,1
1,-4.594365763847821,NA,tin_roof_area,15,1
2,1.174707234633547,NA,tin_roof_area,15,1
3,-2.277136379512676,NA,tin_roof_area,15,1
0,0,0,tin_roof_area,16,1
1,5.057915920197236,NA,tin_roof_area,16,1
2,7.6949987976277825,NA,tin_roof_area,16,1
3,8.140166320056657,NA,tin_roof_area,16,1
0,0,0,tin_roof_area,17,1
1,-2.35088203131025,NA,tin_roof_area,17,1
2,-15.137408944622488,NA,tin_roof_area,17,1
3,-0.1512212909614808,NA,tin_roof_area,17,1
0,0,0,tin_roof_area,18,1
1,-4.105499231733234,NA,tin_roof_area,18,1
2,-4.1459368393163745,NA,tin_roof_area,18,1
3,-4.900801814607252,NA,tin_roof_area,18,1
0,0,0,tin_roof_area,19,1
1,-0.8994089911237715,NA,tin_roof_area,19,1
2,-1.0419617609519733,NA,tin_roof_area,19,1
3,-6.152810431728996,NA,tin_roof_area,19,1
0,0,0,tin_roof_area,20,1
1,2.402960224325959,NA,tin_roof_area,20,1
2,12.208823553627429,NA,tin_roof_area,20,1
3,5.236458324034628,NA,tin_roof_area,20,1
0,0,0,tin_roof_area,21,1
1,-2.528025889459432,NA,tin_roof_area,21,1
2,-9.278702088444245,NA,tin_roof_area,21,1
3,-3.8997526814190326,NA,tin_roof_area,21,1
0,0,0,tin_roof_area,22,1
1,-2.1347296370227546,NA,tin_roof_area,22,1
2,-8.243051161020524,NA,tin_roof_area,22,1
3,-29.765758948950914,NA,tin_roof_area,22,1
0,0,0,tin_roof_area,23,1
1,-0.6586240742981135,NA,tin_roof_area,23,1
2,-6.83547664858547,NA,tin_roof_area,23,1
3,12.376952526880494,NA,tin_roof_area,23,1
0,0,0,tin_roof_area,24,1
1,-4.524259410987666,NA,tin_roof_area,24,1
2,-11.379394584196131,NA,tin_roof_area,24,1
3,1.3811021941982664,NA,tin_roof_area,24,1
0,0,0,tin_roof_area,25,1
1,-3.4243165896630523,NA,tin_roof_area,25,1
2,-4.295684974626879,NA,tin_roof_area,25,1
3,-3.202431100400513,NA,tin_roof_area,25,1
0,0,0,tin_roof_area,26,1
1,6.369938350572203,NA,tin_roof_area,26,1
2,-5.77440745488274,NA,tin_roof_area,26,1
3,4.175746071184977,NA,tin_roof_area,26,1
0,0,0,tin_roof_area,27,1
1,7.368818689520097,NA,tin_roof_area,27,1
2,-0.4636224857373532,NA,tin_roof_area,27,1
3,-6.774908588801944,NA,tin_roof_area,27,1
0,0,0,tin_roof_area,28,1
1,-1.2888695701851502,NA,tin_roof_area,28,1
2,-5.3598069214339965,NA,tin_roof_area,28,1
3,-16.26156728620591,NA,tin_roof_area,28,1
0,0,0,tin_roof_area,29,1
1,4.501541954437009,NA,tin_roof_area,29,1
2,14.412036507313495,NA,tin_roof_area,29,1
3,14.658086108370506,NA,tin_roof_area,29,1
0,0,0,tin_roof_area,30,1
1,5.427758050201642,NA,tin_roof_area,30,1
2,7.7789754893333685,NA,tin_roof_area,30,1
3,0.32440252102247286,NA,tin_roof_area,30,1
0,0,0,tin_roof_area,31,1
1,8.330027994097108,NA,tin_roof_area,31,1
2,3.952353281954683,NA,tin_roof_area,31,1
3,1.3123015437939898,NA,tin_roof_area,31,1
0,0,0,tin_roof_area,32,1
1,-1.7306138518294683,NA,tin_roof_area,32,1
2,9.778139874007257,NA,tin_roof_area,32,1
3,19.297891277339026,NA,tin_roof_area,32,1
0,0,0,tin_roof_area,33,1
1,-1.8503980980064292,NA,tin_roof_area,33,1
2,-5.242543946017485,NA,tin_roof_area,33,1
3,0.8855725525536431,NA,tin_roof_area,33,1
0,0,0,tin_roof_area,34,1
1,0.6054843272347418,NA,tin_roof_area,34,1
2,-3.8645061474583886,NA,tin_roof_area,34,1
3,2.081493527036789,NA,tin_roof_area,34,1
0,0,0,tin_roof_area,35,1
1,0.6860604673437412,NA,tin_roof_area,35,1
2,4.681925925213802,NA,tin_roof_area,35,1
3,8.772367457559554,NA,tin_roof_area,35,1
0,0,0,tin_roof_area,36,1
1,3.7822825819185026,NA,tin_roof_area,36,1
2,5.243873054783717,NA,tin_roof_area,36,1
3,-2.664039380440882,NA,tin_roof_area,36,1
0,0,0,tin_roof_area,37,1
1,-3.185608386915362,NA,tin_roof_area,37,1
2,0.6662026605367358,NA,tin_roof_area,37,1
3,-7.489699767286491,NA,tin_roof_area,37,1
0,0,0,tin_roof_area,38,1
1,9.646684430754073,NA,tin_roof_area,38,1
2,16.016016738264913,NA,tin_roof_area,38,1
3,4.425010750247452,NA,tin_roof_area,38,1
0,0,0,tin_roof_area,39,1
1,9.864372308280492,NA,tin_roof_area,39,1
2,3.3542553801304384,NA,tin_roof_area,39,1
